Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Splunk inc,SPLK,"",8500.0,1002000.0,0.469,0.1768,43,2500.0,41.666667,addition,0.0056161,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,122.6176
Iqiyi inc,IQ,CALL,60000.0,968000.0,0.4531,0.4595,44,-35000.0,-36.842105,reduction,N/A,Q3 2018,COMMUNICATIONS,13F,09/30/2019,
Pinduoduo inc,PDD,PUT,30000.0,967000.0,0.4526,,45,30000.0,,new,N/A,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Qualcomm inc.,QCOM,CALL,12500.0,954000.0,0.4465,,46,12500.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Apple inc,AAPL,"",4250.0,952000.0,0.4456,,47,4250.0,,new,0.0000940,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,223.97
Snap inc class a,SNAP,CALL,60000.0,948000.0,0.4437,0.1843,48,5000.0,9.090909,addition,N/A,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,
Invesco qqq trust series 1,QQQ,"",5000.0,944000.0,0.4418,,49,5000.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,188.81
Ambarella inc,AMBA,CALL,15000.0,943000.0,0.4414,0.2068,50,-5000.0,-25.0,reduction,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Docusign inc,DOCU,"",15100.0,935000.0,0.4376,,51,15100.0,,new,0.0085795,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,61.92
Pinterest inc,PINS,CALL,35000.0,926000.0,0.4334,0.1021,52,19000.0,118.75,addition,N/A,Q2 2019,COMMUNICATIONS,13F,09/30/2019,
Cirrus logic inc,CRUS,CALL,16600.0,889000.0,0.4161,,53,16600.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Cloudera inc,CLDR,"",100000.0,886000.0,0.4147,,54,100000.0,,new,0.0357590,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,8.86
Tesla inc,TSLA,"",3500.0,843000.0,0.3946,0.1569,55,500.0,16.666667,addition,0.0019539,Q4 2014,CONSUMER DISCRETIONARY,13F,09/30/2019,225.9471
Carvana co,CVNA,CALL,12500.0,825000.0,0.3861,0.2344,56,-3500.0,-21.875,reduction,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,
Twitter inc,TWTR,"",20000.0,824000.0,0.3857,,57,20000.0,,new,0.0025873,Q3 2019,COMMUNICATIONS,13F,09/30/2019,41.2
Zillow group inc class c,Z,"",27500.0,820000.0,0.3838,0.7876,58,-45000.0,-62.068966,reduction,No Data,Q1 2019,COMMUNICATIONS,13F,09/30/2019,43.9877
Redfin corp,RDFN,CALL,47000.0,791000.0,0.3702,,59,47000.0,,new,N/A,Q3 2019,REAL ESTATE,13F,09/30/2019,
Sina corp,SINA,CALL,20000.0,784000.0,0.367,0.596,60,-39000.0,-66.101695,reduction,N/A,Q1 2019,COMMUNICATIONS,13F,09/30/2019,
Baidu inc adr,BIDU,PUT,7500.0,771000.0,0.3609,,61,7500.0,,new,N/A,Q3 2019,COMMUNICATIONS,13F,09/30/2019,
Alibaba group holding ltd adr,BABA,"",4500.0,753000.0,0.3524,0.4365,62,-6500.0,-59.090909,reduction,0.0001769,Q1 2019,COMMUNICATIONS,13F,09/30/2019,182.45
Tesla inc,TSLA,PUT,3000.0,723000.0,0.3384,,63,3000.0,,new,N/A,Q2 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,
Lam research corp.,LRCX,"",3100.0,716000.0,0.3351,,64,3100.0,,new,0.0021404,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,231.11
Medallia inc,MDLA,"",25500.0,699000.0,0.3272,,65,25500.0,,new,0.0199859,Q3 2019, ,13F,09/30/2019,27.43
Marvell technology group ltd,MRVL,"",27500.0,687000.0,0.3215,0.0838,66,12500.0,83.333333,addition,0.0041229,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,24.37
Enphase energy inc,ENPH,CALL,30000.0,667000.0,0.3122,0.0855,67,10000.0,50.0,addition,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Talend sa adr,TLND,"",19250.0,654000.0,0.3061,,68,19250.0,,new,0.0629908,Q3 2016,INFORMATION TECHNOLOGY,13F,09/30/2019,33.98
Servicenow inc,NOW,CALL,2500.0,635000.0,0.2972,,69,2500.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Ctrip.com international ltd adr,CTRP,"",21500.0,630000.0,0.2949,0.0635,70,14150.0,192.517007,addition,0.0038880,Q2 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,33.3032
Sea ltd adr,SE,PUT,20000.0,619000.0,0.2897,2.3605,71,-283400.0,-93.408042,reduction,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Zynga  inc.,ZNGA,CALL,100000.0,582000.0,0.2724,,72,100000.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Teradyne inc,TER,"",10000.0,579000.0,0.271,,73,10000.0,,new,0.0058841,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,57.91
Qualcomm inc.,QCOM,"",7500.0,572000.0,0.2677,,74,7500.0,,new,0.0006169,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,76.28
Lattice semconductor corp.,LSCC,PUT,30000.0,549000.0,0.257,,75,30000.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Macom techno ord,MTSI,CALL,25000.0,537000.0,0.2513,0.0885,76,0.0,0.0,,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Amazon.com inc.,AMZN,"",300.0,521000.0,0.2439,,77,300.0,,new,0.0000606,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,1735.91
